C,Gamma,DiagSum
0.01,1e-09,0.874131274131
0.01,1e-08,0.874131274131
0.01,1e-07,0.874131274131
0.01,1e-06,0.874131274131
0.01,1e-05,0.888416988417
0.01,0.0001,0.901930501931
0.01,0.001,0.901930501931
0.01,0.01,0.901930501931
0.01,0.1,0.900386100386
0.01,1.0,0.80888030888
0.01,10.0,0.80888030888
0.01,100.0,0.871814671815
0.1,1e-09,0.874131274131
0.1,1e-08,0.874131274131
0.1,1e-07,0.874131274131
0.1,1e-06,1.69126009126
0.1,1e-05,2.34977184977
0.1,0.0001,2.94436491828
0.1,0.001,2.19059319059
0.1,0.01,0.915444015444
0.1,0.1,0.900386100386
0.1,1.0,0.80888030888
0.1,10.0,0.80888030888
0.1,100.0,0.871814671815
1.0,1e-09,0.874131274131
1.0,1e-08,0.874131274131
1.0,1e-07,1.67514917515
1.0,1e-06,2.11154791155
1.0,1e-05,3.20280647672
1.0,0.0001,3.67038701604
1.0,0.001,4.20344743388
1.0,0.01,3.6960451417
1.0,0.1,1.85199688678
1.0,1.0,0.808108108108
1.0,10.0,0.80888030888
1.0,100.0,0.871814671815
10.0,1e-09,0.874131274131
10.0,1e-08,1.65047385047
10.0,1e-07,1.98683748684
10.0,1e-06,2.97346284738
10.0,1e-05,3.36603918995
10.0,0.0001,4.30221511743
10.0,0.001,4.36121140904
10.0,0.01,3.85383734949
10.0,0.1,2.10075770293
10.0,1.0,0.863706563707
10.0,10.0,0.80888030888
10.0,100.0,0.871814671815
100.0,1e-09,1.65047385047
100.0,1e-08,1.98683748684
100.0,1e-07,2.87346284738
100.0,1e-06,3.40797304928
100.0,1e-05,4.29507226029
100.0,0.0001,4.41557068079
100.0,0.001,4.38718543501
100.0,0.01,3.71406900972
100.0,0.1,2.10075770293
100.0,1.0,0.863706563707
100.0,10.0,0.80888030888
100.0,100.0,0.871814671815
1000.0,1e-09,1.98683748684
1000.0,1e-08,2.68350145741
1000.0,1e-07,3.06431547301
1000.0,1e-06,4.11587971371
1000.0,1e-05,4.49259770782
1000.0,0.0001,4.34976879759
1000.0,0.001,4.25378775161
1000.0,0.01,3.71406900972
1000.0,0.1,2.10075770293
1000.0,1.0,0.863706563707
1000.0,10.0,0.80888030888
1000.0,100.0,0.871814671815
10000.0,1e-09,2.69701497093
10000.0,1e-08,2.96041936912
10000.0,1e-07,4.13653608436
10000.0,1e-06,4.510779526
10000.0,1e-05,4.52896134418
10000.0,0.0001,4.42104628626
10000.0,0.001,4.17753292536
10000.0,0.01,3.71406900972
10000.0,0.1,2.10075770293
10000.0,1.0,0.863706563707
10000.0,10.0,0.80888030888
10000.0,100.0,0.871814671815
100000.0,1e-09,2.96041936912
100000.0,1e-08,4.05731530514
100000.0,1e-07,4.32379477162
100000.0,1e-06,4.41155172677
100000.0,1e-05,4.57881026142
100000.0,0.0001,4.2848619653
100000.0,0.001,4.17753292536
100000.0,0.01,3.71406900972
100000.0,0.1,2.10075770293
100000.0,1.0,0.863706563707
100000.0,10.0,0.80888030888
100000.0,100.0,0.871814671815
1000000.0,1e-09,3.99485479268
1000000.0,1e-08,4.38170982954
1000000.0,1e-07,4.44012315534
1000000.0,1e-06,4.57881026142
1000000.0,1e-05,4.42042516825
1000000.0,0.0001,4.24432142476
1000000.0,0.001,4.17753292536
1000000.0,0.01,3.71406900972
1000000.0,0.1,2.10075770293
1000000.0,1.0,0.863706563707
1000000.0,10.0,0.80888030888
1000000.0,100.0,0.871814671815
10000000.0,1e-09,4.26590794634
10000000.0,1e-08,4.40703450486
10000000.0,1e-07,4.50209226731
10000000.0,1e-06,4.38161521205
10000000.0,1e-05,4.36328231111
10000000.0,0.0001,4.24432142476
10000000.0,0.001,4.17753292536
10000000.0,0.01,3.71406900972
10000000.0,0.1,2.10075770293
10000000.0,1.0,0.863706563707
10000000.0,10.0,0.80888030888
10000000.0,100.0,0.871814671815
100000000.0,1e-09,4.1809658614
100000000.0,1e-08,4.31337692859
100000000.0,1e-07,4.39167442428
100000000.0,1e-06,4.3421559052
100000000.0,1e-05,4.33625528408
100000000.0,0.0001,4.24432142476
100000000.0,0.001,4.17753292536
100000000.0,0.01,3.71406900972
100000000.0,0.1,2.10075770293
100000000.0,1.0,0.863706563707
100000000.0,10.0,0.80888030888
100000000.0,100.0,0.871814671815
1000000000.0,1e-09,4.27382300426
1000000000.0,1e-08,4.22191310452
1000000000.0,1e-07,4.35676057198
1000000000.0,1e-06,4.28516413082
1000000000.0,1e-05,4.31405451188
1000000000.0,0.0001,4.24432142476
1000000000.0,0.001,4.17753292536
1000000000.0,0.01,3.71406900972
1000000000.0,0.1,2.10075770293
1000000000.0,1.0,0.863706563707
1000000000.0,10.0,0.80888030888
1000000000.0,100.0,0.871814671815
